StateUT,District,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Column1
Odisha,Nayagarh,2001,17,18,14,11,3,9,0,
Odisha,Nowrangpur,2001,13,3,0,41,7,13,0,
Odisha,Nuapada,2001,9,2,0,16,5,17,0,
Odisha,Puri,2001,41,24,29,13,0,32,0,
Odisha,Rayagada,2001,9,0,1,33,2,26,0,
Odisha,Rourkela,2001,12,6,2,35,13,17,0,
Odisha,Sambalpur,2001,18,9,0,82,9,18,0,
Odisha,Sonepur,2001,8,4,6,28,4,11,0,
Odisha,Srp(Cuttack),2001,1,3,0,5,4,0,0,
Odisha,Srp(Rourkela),2001,2,3,0,2,0,0,0,
Odisha,Sundargarh,2001,36,19,4,82,10,7,0,
Punjab,Amritsar,2001,9,26,7,9,0,77,0,
Punjab,Barnala,2001,12,13,6,13,0,24,0,
Punjab,Batala,2001,8,4,6,1,0,19,0,
Punjab,Bhatinda,2001,13,9,4,15,0,57,0,
Punjab,Faridkot,2001,6,7,4,11,0,20,0,
Punjab,Fatehgarh Sahib,2001,11,6,4,4,1,7,0,
Punjab,Ferozepur,2001,22,7,11,17,0,22,0,
Punjab,G.R.P,2001,0,0,3,1,0,0,0,
Punjab,Gurdaspur,2001,12,14,6,4,0,21,0,
Punjab,Hoshiarpur,2001,19,13,12,13,0,46,0,
Punjab,Jagraon,2001,19,11,7,3,2,27,0,
Punjab,Jalandhar,2001,21,49,17,16,2,104,0,
Punjab,Kapurthala,2001,8,9,2,20,0,34,0,
Punjab,Khanna,2001,6,1,4,0,0,15,0,
Punjab,Ludhiana,2001,38,46,11,46,13,249,0,
Punjab,Majitha,2001,9,6,9,8,0,20,0,
Punjab,Mansa,2001,6,4,2,3,0,3,0,
Punjab,Moga,2001,11,9,6,8,2,25,0,
Punjab,Muktsar,2001,3,2,1,2,0,16,0,
Punjab,Nawan Shahr,2001,11,8,4,8,0,14,0,
Punjab,Patiala,2001,23,46,10,128,19,232,0,
Punjab,Ropar,2001,6,6,5,13,4,33,0,
Punjab,Sangrur,2001,15,18,10,18,4,36,0,
Punjab,Tarn Taran,2001,10,10,8,11,0,27,0,
Rajasthan,Ajmer,2001,16,125,12,95,0,236,0,
Rajasthan,Alwar,2001,34,87,43,124,0,235,0,
Rajasthan,Banswara,2001,90,59,10,112,1,151,0,
Rajasthan,Baran,2001,81,94,3,219,5,124,0,
Rajasthan,Barmer,2001,13,14,13,71,0,45,0,
Rajasthan,Bharatpur,2001,48,103,24,77,0,209,0,
Rajasthan,Bhilwara,2001,42,223,5,126,3,312,0,
Rajasthan,Bikaner,2001,35,34,13,53,0,153,0,
Rajasthan,Bundi,2001,36,103,2,164,6,157,0,
Rajasthan,Chittorgarh,2001,67,169,7,112,5,384,0,
Rajasthan,Churu,2001,24,14,8,73,3,174,0,
Rajasthan,Dausa,2001,9,26,8,31,0,60,0,
Rajasthan,Dholpur,2001,24,33,21,34,0,93,0,
Rajasthan,Dungarpur,2001,17,50,3,56,0,60,0,
Rajasthan,Ganganagar,2001,55,65,13,118,2,375,0,
Rajasthan,Hanumangarh,2001,35,22,20,98,0,241,0,
Rajasthan,Jaipur,2001,61,203,29,179,1,453,0,
Rajasthan,Jaisalmer,2001,2,7,3,21,0,16,0,
Rajasthan,Jalore,2001,10,20,12,61,0,96,0,
Rajasthan,Jhalawar,2001,65,57,8,144,10,224,0,
Rajasthan,Jhunjhunu,2001,19,25,0,50,0,125,0,
Rajasthan,Jodhpur,2001,20,53,12,128,3,263,1,
Rajasthan,Karauli,2001,21,50,10,37,0,66,0,
Rajasthan,Kota,2001,50,116,17,203,6,319,0,
Rajasthan,Nagaur,2001,22,34,14,65,0,102,0,
Rajasthan,Pali,2001,25,61,15,115,2,196,0,
Rajasthan,Rajsamand,2001,13,63,6,40,1,104,0,
Rajasthan,Sawai Madhopur,2001,19,42,6,49,0,97,0,
Rajasthan,Sikar,2001,13,22,15,28,0,114,0,
Rajasthan,Sirohi,2001,22,19,8,29,0,79,0,
Rajasthan,Tonk,2001,17,50,7,84,6,142,0,
Rajasthan,Udaipur,2001,43,118,9,68,2,127,0,
Sikkim,East,2001,7,1,0,0,8,0,0,
Sikkim,North,2001,0,0,0,0,0,0,0,
Sikkim,South,2001,1,0,0,0,4,0,0,
Sikkim,West,2001,0,1,0,0,2,0,0,
Tamil Nadu,Ariyalur,2001,6,14,3,38,4,8,0,
Tamil Nadu,Chengai,2001,20,8,16,58,8,57,0,
Tamil Nadu,Chennai,2001,28,0,13,70,209,111,0,
Tamil Nadu,Chennai Rly.,2001,0,0,0,5,0,2,0,
Tamil Nadu,Coimbatore Rural,2001,18,27,16,75,25,49,0,
Tamil Nadu,Coimbatore Urban,2001,4,10,5,19,38,28,0,
Tamil Nadu,Cuddalore,2001,16,2,9,137,50,21,0,
Tamil Nadu,Dharmapuri,2001,17,30,6,65,8,18,0,
Tamil Nadu,Dindigul,2001,14,35,8,48,11,8,5,
Tamil Nadu,Erode,2001,9,14,4,72,16,25,0,
Tamil Nadu,Kanchipuram,2001,21,9,6,30,9,12,9,
Tamil Nadu,Kanyakumari,2001,6,9,5,27,170,29,0,
Tamil Nadu,Karur,2001,4,8,2,21,2,14,0,
Tamil Nadu,Madurai Rural,2001,13,23,5,52,8,69,0,
Tamil Nadu,Madurai Urban,2001,2,18,12,20,52,24,0,
Tamil Nadu,Nagapattinam,2001,12,25,4,55,13,8,0,
Tamil Nadu,Namakkal,2001,7,16,4,39,13,18,0,
Tamil Nadu,Nilgiris,2001,8,5,2,6,5,16,0,
Tamil Nadu,Perambalur,2001,3,11,0,18,0,12,0,
Tamil Nadu,Pudukottai,2001,5,24,2,32,4,25,0,
Tamil Nadu,Ramnathapuram,2001,13,17,4,59,12,16,0,
Tamil Nadu,Salem Rural,2001,8,29,8,53,7,7,0,
Tamil Nadu,Salem Urban,2001,2,10,3,7,13,11,0,
Tamil Nadu,Sivagangai,2001,5,10,4,17,2,9,0,
Tamil Nadu,Thanjavur,2001,0,34,0,53,46,31,0,
Tamil Nadu,Theni,2001,4,7,4,29,8,9,0,
Tamil Nadu,Thirunelveli Rural,2001,57,53,3,155,62,13,0,
Tamil Nadu,Thirunelveli Urban,2001,3,10,0,2,21,6,0,
Tamil Nadu,Thiruvallur,2001,16,11,6,70,17,16,0,
Tamil Nadu,Thiruvannamalai,2001,5,33,1,53,9,18,0,
Tamil Nadu,Thiruvarur,2001,7,26,4,50,18,2,0,
Tamil Nadu,Thoothugudi,2001,12,0,1,94,47,36,0,
Tamil Nadu,Trichy Rly.,2001,0,0,0,0,3,0,0,
Tamil Nadu,Trichy Rural,2001,6,17,3,22,5,2,0,
Tamil Nadu,Trichy Urban,2001,5,6,4,9,51,18,0,
Tamil Nadu,Vellore,2001,13,0,8,54,16,5,0,
Tamil Nadu,Villupuram,2001,37,37,14,78,20,42,0,
Tamil Nadu,Virudhunagar,2001,17,19,2,81,10,20,0,
Tripura,Dhalai,2001,11,0,2,4,0,11,0,
Uttar Pradesh,Agra,2001,66,132,63,110,114,327,0,
Uttar Pradesh,Aligarh,2001,50,78,44,90,54,258,0,
Uttar Pradesh,Allahabad,2001,42,75,56,85,105,226,0,
Uttar Pradesh,Ambedkar Nagar,2001,19,29,14,15,9,87,0,
Uttar Pradesh,Auraiya,2001,11,25,21,13,7,26,0,
Uttar Pradesh,Azamgarh,2001,11,41,32,14,15,81,0,
Uttar Pradesh,Badaun,2001,47,41,62,51,14,76,0,
Uttar Pradesh,Baghpat,2001,15,17,20,18,12,64,0,
Uttar Pradesh,Bahraich,2001,14,19,19,15,17,62,0,
Uttar Pradesh,Ballia,2001,18,17,19,7,22,35,0,
Uttar Pradesh,Banda,2001,27,18,21,51,18,50,0,
Uttar Pradesh,Barabanki,2001,41,55,35,37,21,188,0,
Uttar Pradesh,Bareilly,2001,93,98,57,110,40,421,0,
Uttar Pradesh,Basti,2001,18,23,22,28,12,48,0,
Uttar Pradesh,Bijnor,2001,38,59,31,67,38,230,0,
Uttar Pradesh,Bulandshahar,2001,31,64,45,71,219,227,0,
Uttar Pradesh,Chandoli,2001,4,11,16,13,0,22,0,
Uttar Pradesh,Chitrakoot Dham,2001,8,3,8,16,4,2,0,
Uttar Pradesh,Deoria,2001,7,33,27,15,15,44,0,
Uttar Pradesh,Etah,2001,57,59,68,68,24,156,0,
Uttar Pradesh,Etawah,2001,20,22,29,25,26,52,0,
Uttar Pradesh,Faizabad,2001,22,26,17,24,18,49,0,
Uttar Pradesh,Fatehgarh,2001,9,38,22,23,28,93,0,
Uttar Pradesh,Fatehpur,2001,28,27,46,25,15,59,0,
Uttar Pradesh,Firozabad,2001,22,59,48,33,69,89,0,
Uttar Pradesh,Gautambudh Nagar,2001,16,30,17,39,40,54,0,
Uttar Pradesh,Ghaziabad,2001,31,79,33,54,138,140,0,
Uttar Pradesh,Ghazipur,2001,6,19,22,18,29,56,0,
Uttar Pradesh,Gonda,2001,18,21,26,19,13,46,0,
Uttar Pradesh,Gorakhpur,2001,13,52,16,25,36,52,0,
Uttar Pradesh,Hardoi,2001,70,60,63,86,21,136,0,
Uttar Pradesh,Hathras,2001,16,26,31,63,26,93,0,
Uttar Pradesh,J.P.Nagar,2001,23,36,14,35,22,98,0,
Uttar Pradesh,Jalaun,2001,6,14,29,40,21,65,0,
Uttar Pradesh,Jaunpur,2001,11,15,43,21,19,85,0,
Uttar Pradesh,Jhansi,2001,18,20,31,32,30,69,0,
Uttar Pradesh,Kannauj,2001,8,19,22,18,7,63,0,
Uttar Pradesh,Kanpur Dehat,2001,21,34,39,45,7,79,0,
Uttar Pradesh,Kanpur Nagar,2001,47,176,64,106,213,356,0,
Uttar Pradesh,Kaushambi,2001,26,23,28,44,9,72,0,
Uttar Pradesh,Khiri,2001,83,90,88,99,24,138,0,
Uttar Pradesh,Kushi Nagar,2001,7,20,18,19,35,14,0,
Uttar Pradesh,Lalitpur,2001,20,5,10,26,9,31,0,
Uttar Pradesh,Lucknow,2001,62,138,47,103,148,337,0,
Uttar Pradesh,Maharajganj,2001,13,13,7,13,37,10,0,
Uttar Pradesh,Mahoba,2001,12,7,11,22,3,4,0,
Uttar Pradesh,Mainpuri,2001,13,31,42,32,3,63,0,
Uttar Pradesh,Mathura,2001,25,33,21,48,50,77,0,
Uttar Pradesh,Mau,2001,17,25,16,33,27,39,0,
Uttar Pradesh,Meerut,2001,28,96,34,59,123,236,0,
Uttar Pradesh,Mirzapur,2001,16,6,23,16,21,39,0,
Uttar Pradesh,Moradabad,2001,44,72,45,79,85,207,0,
Uttar Pradesh,Muzaffarnagar,2001,54,67,24,51,33,265,0,
Uttar Pradesh,Pilibhit,2001,64,47,44,50,20,195,0,
Uttar Pradesh,Pratapgarh,2001,18,35,33,21,9,44,0,
Uttar Pradesh,Raibareilly,2001,58,50,29,57,17,137,0,
Uttar Pradesh,Rampur,2001,22,27,18,11,0,49,0,
Uttar Pradesh,Saharanpur,2001,41,52,21,45,96,196,0,
Uttar Pradesh,Sant Kabirnagar,2001,9,16,7,11,6,26,0,
Uttar Pradesh,Shahjahanpur,2001,55,68,66,61,21,146,0,
Uttar Pradesh,Shrawasti,2001,13,18,4,16,8,18,0,
Uttar Pradesh,Sidharthnagar,2001,12,24,13,20,3,28,0,
Uttar Pradesh,Sitapur,2001,85,47,82,71,35,106,0,
Uttar Pradesh,Sonbhadra,2001,5,6,12,9,4,5,0,
Uttar Pradesh,St.Ravidasnagar,2001,1,7,9,3,3,23,0,
Uttar Pradesh,Sultanpur,2001,29,35,38,34,17,153,0,
Uttar Pradesh,Unnao,2001,53,79,63,100,12,168,0,
Uttar Pradesh,Varanasi,2001,27,35,31,19,90,119,0,
Uttarakhand,Almora,2001,4,1,3,5,0,5,0,
Uttarakhand,Bageshwar,2001,1,4,8,1,0,0,0,
Uttarakhand,Chamoli,2001,3,3,3,10,0,1,0,
Uttarakhand,Champawat,2001,0,3,0,7,0,5,0,
Uttarakhand,Dehradun,2001,12,48,4,13,19,85,0,
Uttarakhand,Haridwar,2001,13,23,10,21,33,105,0,
Uttarakhand,Nainital,2001,5,0,5,11,3,29,0,
Uttarakhand,Pauri Garhwal,2001,7,7,5,4,1,7,0,
Uttarakhand,Pithoragarh,2001,7,0,2,6,4,10,0,
Uttarakhand,Rudra Prayag,2001,2,0,3,3,1,2,0,
Uttarakhand,Tehri Garhwal,2001,2,5,2,3,0,8,0,
Uttarakhand,Udhamsingh Nagar,2001,10,29,10,7,22,31,0,
Uttarakhand,Uttarkashi,2001,8,3,1,12,1,13,0,
West Bengal,24 Parganas North,2001,53,63,23,63,0,447,0,
West Bengal,24 Parganas South,2001,47,52,48,54,0,480,0,
West Bengal,Asansol,2001,0,0,1,0,0,32,0,
West Bengal,Bankura,2001,26,5,22,28,0,78,0,
West Bengal,Birbhum,2001,43,28,4,43,0,151,0,
West Bengal,Burdwan,2001,46,32,32,85,0,296,0,
West Bengal,Coochbehar,2001,36,41,6,44,0,146,0,
West Bengal,Dakshin Dinajpur,2001,10,28,4,37,0,101,0,
West Bengal,Darjeeling,2001,20,20,2,26,0,56,1,
West Bengal,Hooghly,2001,29,38,10,39,0,372,0,
West Bengal,Howrah,2001,2,5,8,13,0,43,0,
West Bengal,Howrah City,2001,7,10,5,6,0,84,0,
West Bengal,Howrah G.R.P.,2001,1,4,0,9,1,0,0,
West Bengal,Jalpaiguri,2001,54,24,2,47,0,150,0,
West Bengal,Kolkata,2001,19,78,6,165,37,207,2,
West Bengal,Malda,2001,40,23,5,48,0,92,0,
West Bengal,Midnapur,2001,84,74,58,54,1,470,0,
West Bengal,Murshidabad,2001,66,46,12,36,2,240,0,
West Bengal,Nadia,2001,71,90,10,77,7,252,0,
West Bengal,Purulia,2001,23,15,3,48,0,86,0,
West Bengal,Sealdah G.R.P.,2001,1,1,0,0,0,2,0,
West Bengal,Siliguri G.R.P.,2001,0,0,0,1,0,0,0,
West Bengal,Uttar Dinajpur,2001,31,18,4,31,0,74,0,
A & N Islands,Andaman,2001,3,2,0,18,1,9,0,
A & N Islands,Nicobar,2001,0,0,0,1,0,0,0,
Chandigarh,Chandigarh,2001,18,50,3,24,15,36,0,
D & N Haveli,D And N Haveli,2001,6,2,0,7,0,4,0,
Daman & Diu,Daman,2001,0,3,0,0,0,4,0,
Daman & Diu,Diu,2001,0,0,0,0,0,0,0,
Delhi,Central,2001,28,42,4,30,7,2,0,
Delhi,Delhi Ut Total,2001,381,964,113,502,90,138,0,
Delhi,G.R.P.(Rly),2001,1,7,0,4,0,0,0,
Delhi,I.G.I. Airport,2001,0,1,0,0,2,0,0,
Delhi,New Delhi,2001,9,19,0,20,6,2,0,
Delhi,North East,2001,36,123,20,34,1,8,0,
Delhi,North West,2001,103,298,25,102,18,22,0,
Delhi,S.T.F.,2001,0,0,0,0,0,0,0,
Delhi,South West,2001,42,113,16,69,13,24,0,
Lakshadweep,Lakshadweep,2001,0,0,0,0,0,0,0,
Puducherry,Pondicherry,2001,9,3,1,35,27,3,0,
Chhattisgarh,Kabirdham,2002,20,0,0,42,3,25,0,
Jammu & Kashmir,Handwara,2002,0,15,0,25,0,1,0,
West Bengal,Kharagpur G.R.P.,2002,0,1,0,0,0,0,0,
West Bengal,Paschim Midnapur,2002,53,47,22,35,0,249,0,
West Bengal,Purab Midnapur,2002,25,42,39,10,0,175,0,
Delhi,Spl Cell,2002,0,0,0,0,0,0,0,
Andhra Pradesh,Cyberabad,2003,31,62,25,96,78,543,1,
Arunachal Pradesh,K/Kumey,2003,0,2,0,0,0,0,0,
Arunachal Pradesh,Upper Dibang Valley,2003,0,1,0,0,0,0,0,
Chhattisgarh,Narayanpur,2003,3,1,0,0,0,1,0,
Kerala,Ernakulam Commr.,2003,11,5,0,77,7,54,0,
Kerala,Ernakulam Rural,2003,22,8,2,109,0,92,0,
Kerala,Kozhikode Commr.,2003,10,3,2,50,5,157,0,
Kerala,Kozhikode Rural,2003,24,4,1,76,5,210,0,
Kerala,Trivandrum Commr.,2003,17,7,2,114,5,82,0,
Kerala,Trivandrum Rural,2003,28,23,7,212,4,232,0,
Madhya Pradesh,Anuppur,2003,10,1,1,14,2,3,0,
Madhya Pradesh,Ashok Nagar,2003,33,4,6,140,12,36,0,
Madhya Pradesh,Burhanpur,2003,7,0,1,22,0,13,0,
Tamil Nadu,Krishnagiri,2004,9,21,8,38,74,31,0,
Assam,Baska,2005,9,15,0,8,0,8,0,
Assam,Chirang,2005,17,16,7,6,0,16,0,
Assam,Udalguri,2005,21,15,6,57,0,13,0,
Chhattisgarh,Surajpur,2005,41,7,1,62,2,24,0,
Haryana,Mewat,2005,34,3,7,12,5,112,0,
Punjab,Ferozpur,2005,24,10,8,10,0,21,0,
Tamil Nadu,Viluppuram,2005,49,49,9,50,5,59,0,
Delhi,Igi Airport,2005,1,0,0,1,0,0,0,
Delhi,North-East,2005,106,151,29,79,23,140,0,
Delhi,North-West,2005,190,349,23,138,53,324,0,
Delhi,South-West,2005,71,89,12,86,20,114,0,
Andhra Pradesh,Vijayawada City,2006,21,60,8,135,158,336,0,
Haryana,Palwal,2006,26,17,5,21,0,47,0,
Jammu & Kashmir,Border District,2006,6,8,1,3,7,4,0,
Maharashtra,Mumbai Commr.,2006,165,129,17,357,102,327,1,
Manipur,Imphal East,2006,3,21,0,14,0,0,0,
Manipur,Imphal West,2006,9,29,0,15,0,5,0,
Punjab,Sas Ngr,2006,10,6,6,0,2,3,2,
Rajasthan,Jaipur East,2006,19,51,6,40,2,156,0,
Rajasthan,Jaipur North,2006,18,48,8,42,0,151,0,
Rajasthan,Jaipur Rural,2006,34,57,14,98,1,169,0,
Rajasthan,Jaipur South,2006,21,38,9,28,0,144,0,
Rajasthan,Jodhpur City,2006,18,28,10,53,3,209,0,
Rajasthan,Jodhpur Rural,2006,19,15,17,59,0,58,0,
Rajasthan,Kota City,2006,18,70,12,49,3,272,0,
Rajasthan,Kota Rural,2006,19,19,4,91,3,132,0,
Delhi,Grp(Rly),2006,1,10,1,0,0,0,0,
Delhi,Stf,2006,0,0,0,0,0,0,0,
Puducherry,Karaikal,2006,1,5,1,7,4,0,0,
Jharkhand,Khunti,2007,15,7,1,1,0,3,0,
Jharkhand,Ramgarh,2007,28,26,11,11,0,46,0,
Nagaland,Longleng,2007,0,1,0,0,0,0,0,
Punjab,Amritsar Rural,2007,10,24,1,9,5,17,0,
A & N Islands,A And N Islands,2007,3,9,1,21,2,18,0,
Delhi,Outer,2007,121,237,29,100,12,208,0,
Gujarat,Tapi,2008,3,2,0,2,0,6,0,
Jammu & Kashmir,Bandipora,2008,1,44,0,74,7,0,0,
Jammu & Kashmir,Kishtwar,2008,4,12,0,10,1,5,0,
Jammu & Kashmir,Samba,2008,2,9,1,7,1,3,0,
Jammu & Kashmir,Shopian,2008,6,14,0,49,5,1,0,
Karnataka,Cbpura,2008,7,13,9,37,0,22,0,
Karnataka,Ramanagar,2008,17,8,14,62,0,37,0,
Madhya Pradesh,Alirajpur,2008,41,14,1,37,1,7,0,
Madhya Pradesh,Singrauli,2008,40,12,22,87,1,27,0,
Manipur,Cid,2008,0,0,0,0,0,0,0,
Odisha,Dcp Bbsr,2008,36,24,23,61,7,38,0,
Odisha,Dcp Ctc,2008,18,17,15,18,3,55,0,
Punjab,Ludhiana Rural,2008,14,12,4,4,5,19,0,
Punjab,Sbs Nagar,2008,14,3,2,9,0,28,0,
Tamil Nadu,Chennaisuburban,2008,21,24,28,42,42,41,0,
Uttar Pradesh,Kanshiram Nagar,2008,19,29,30,31,5,31,0,
Delhi,Caw,2008,0,0,0,1,0,104,0,
Delhi,Crime Branch,2008,0,0,0,0,0,0,0,
Delhi,Eow,2008,0,0,0,0,2,0,0,
Delhi,South-East,2008,61,123,15,82,25,156,0,
Puducherry,Puducherry,2008,7,8,2,40,17,10,0,
Arunachal Pradesh,Anjaw,2009,0,0,0,0,0,0,0,
Himachal Pradesh,Baddipolicedist,2009,2,1,0,5,0,9,0,
Jammu & Kashmir,Railways Kmr,2009,0,0,0,2,0,0,0,
Tamil Nadu,Tiruppur,2009,12,42,3,46,8,46,0,
Andhra Pradesh,Guntur Urban,2010,12,5,13,48,54,245,0,
Andhra Pradesh,Rajahmundry,2010,10,12,4,47,39,96,0,
Andhra Pradesh,Tirupathi Urban,2010,10,15,5,38,25,85,0,
Andhra Pradesh,Warangal Urban,2010,17,28,12,50,25,412,0,
Arunachal Pradesh,Rural,2010,3,2,0,5,0,0,0,
Gujarat,Cid Crime,2010,1,0,0,0,0,0,0,
Jammu & Kashmir,Crime Kashmir,2010,0,0,0,0,0,0,0,
Jammu & Kashmir,Sopore,2010,9,34,0,59,13,3,0,
Karnataka,Yadgiri,2010,5,0,3,65,3,47,0,
Punjab,Cp Amritsar,2010,24,43,10,10,4,87,0,
Punjab,Cp Jalandhar,2010,22,40,5,27,4,82,0,
Punjab,Cp Ludhiana,2010,55,108,9,29,11,119,0,
Punjab,Jalandhar Rural,2010,39,26,4,24,4,62,0,
Rajasthan,G.R.P. Ajmer,2010,0,0,3,1,0,0,0,
Rajasthan,G.R.P. Jodhpur,2010,2,0,0,1,2,0,0,
Uttar Pradesh,Csm Nagar,2010,30,75,13,17,0,9,0,
Uttar Pradesh,Ramabai Nagar,2010,12,80,22,38,0,88,0,
Chhattisgarh,Gariyaband,2011,21,1,5,30,1,8,0,
Gujarat,Kutch (East(G)),2011,8,17,2,13,1,137,0,
Gujarat,Kutch (West-Bhuj),2011,15,15,0,14,0,108,0,
Gujarat,W.Rly Ahmedabad,2011,0,1,0,6,0,0,0,
Gujarat,W.Rly Vadodara,2011,0,1,0,2,0,0,0,
Jammu & Kashmir,Railways Jammu,2011,0,0,0,0,0,0,0,
Jammu & Kashmir,Railways Kashmir,2011,0,0,0,0,1,0,0,
Karnataka,Mangalore City,2011,16,4,0,27,2,43,0,
Kerala,Kollam Commr.,2011,51,20,1,192,19,319,0,
Kerala,Kollam Rural,2011,46,10,0,255,8,298,0,
Kerala,Thrissur Commr.,2011,28,10,0,100,28,131,0,
Kerala,Thrissur Rural,2011,69,12,1,263,28,449,0,
Punjab,Fazilka,2011,21,17,3,5,0,29,0,
Punjab,Pathankot,2011,10,12,5,2,0,21,0,
Rajasthan,G.R.P.Ajmer,2011,2,6,0,9,0,0,0,
Rajasthan,G.R.P.Jodhpur,2011,0,1,0,7,0,0,0,
Rajasthan,Jaipur West,2011,23,72,10,25,0,208,0,
Uttar Pradesh,Bhim Nagar,2011,34,105,29,43,0,61,0,
Uttar Pradesh,Panchshil Nagar,2011,18,78,15,25,0,72,0,
Uttar Pradesh,Prabuddh Nagar,2011,11,52,10,13,0,83,0,
Assam,Baksa,2012,33,50,3,4,0,15,0,
Assam,Bieo,2012,0,0,0,0,0,0,0,
Assam,Hamren,2012,3,12,0,2,0,3,0,
Chhattisgarh,Balod,2012,22,6,4,50,1,9,0,
Chhattisgarh,Baloda Bazar,2012,45,18,0,98,10,37,0,
Chhattisgarh,Bemetara,2012,24,18,3,61,5,29,0,
Chhattisgarh,Kondagaon,2012,11,0,0,4,3,2,0,
Chhattisgarh,Mungeli,2012,6,13,2,24,3,26,0,
Chhattisgarh,Sukma,2012,1,5,0,2,0,2,0,
Haryana,Ambala Rural,2012,11,19,7,12,4,73,0,
Haryana,Ambala Urban,2012,21,39,5,23,14,159,0,
Jammu & Kashmir,Railways Katra,2012,0,0,0,0,0,0,0,
Rajasthan,Jodhpur East,2012,20,13,11,16,0,296,0,
Rajasthan,Jodhpur West,2012,20,23,5,27,0,5,0,
Tripura,Gomati,2012,26,14,4,34,0,157,0,
Tripura,Khowai,2012,10,3,3,22,0,36,0,
Tripura,Sipahijala,2012,23,24,3,42,1,155,0,
Tripura,Unakoti,2012,26,9,2,26,2,92,0,
West Bengal,Bdn Cp,2012,13,0,9,58,8,320,0,
West Bengal,Bkp Cp,2012,36,201,20,88,2,989,0,
West Bengal,Jhargram,2012,21,21,6,28,0,47,0,
West Bengal,Siliguri_Pc,2012,21,111,3,35,12,370,0,
A & N Islands,Car,2012,0,1,0,1,0,0,0,
