STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,VADODARA RURAL,2001,71,13,1,18,0,18,38,34,4,15,0,21,67,210,24,186,34,67,56,0,10,354,0,34,0,81,0,170,1877,3137
GUJARAT,VALSAD,2001,44,8,3,9,0,9,16,11,5,22,0,25,246,432,135,297,40,50,37,2,12,301,0,10,0,50,0,0,1802,3109
GUJARAT,W.RLY,2001,15,8,0,1,0,1,0,0,0,7,0,87,31,901,2,899,7,10,10,2,1,54,0,7,0,7,0,6,267,1421
HARYANA,AMBALA,2001,26,23,2,11,0,11,38,32,6,2,5,18,316,365,154,211,5,13,76,0,11,280,11,27,0,132,0,0,985,2346
HARYANA,BHIWANI,2001,40,20,8,10,0,10,9,7,2,0,10,19,132,190,120,70,109,26,54,1,16,267,33,17,0,43,0,2,849,1855
HARYANA,FARIDABAD,2001,68,38,7,37,0,37,78,53,25,7,25,44,236,668,444,224,133,117,61,6,14,304,19,47,242,108,0,18,3531,5808
HARYANA,FATEHABAD,2001,18,23,2,17,0,17,20,13,7,3,5,11,96,141,61,80,11,1,52,2,6,210,17,17,0,93,0,1,468,1214
HARYANA,GRP,2001,24,3,0,0,0,0,2,2,0,0,0,5,1,169,35,134,9,1,3,2,0,11,5,1,26,0,0,7,346,615
HARYANA,GURGAON,2001,69,30,5,32,0,32,50,32,18,4,15,51,294,794,435,359,78,55,29,2,20,244,17,21,21,136,0,5,1530,3502
HARYANA,HISSAR,2001,45,53,7,10,0,10,26,18,8,2,11,27,244,438,258,180,28,23,159,2,8,392,24,33,0,117,0,4,1177,2830
HARYANA,JHAJJAR,2001,48,28,2,21,0,21,14,8,6,2,0,25,98,183,66,117,68,21,50,1,0,193,20,42,13,122,0,84,466,1501
HARYANA,JIND,2001,37,21,6,21,0,21,12,8,4,2,28,28,151,148,66,82,71,66,51,3,2,160,11,22,29,67,0,4,512,1452
HARYANA,KAITHAL,2001,33,15,8,16,0,16,9,8,1,3,4,9,103,144,66,78,0,60,16,1,28,216,9,19,0,105,0,1,396,1195
HARYANA,KARNAL,2001,42,24,7,44,0,44,31,10,21,8,3,16,208,468,194,274,47,20,59,2,11,726,18,28,2,97,0,187,335,2383
HARYANA,KURUKSHETRA,2001,20,8,4,31,0,31,14,14,0,5,4,13,132,343,131,212,0,20,130,1,4,172,10,28,8,68,0,0,738,1753
HARYANA,MAHENDRAGARH,2001,26,10,0,11,0,11,13,8,5,1,0,1,59,116,32,84,47,34,9,1,21,157,8,19,0,23,0,2,611,1169
HARYANA,PANCHKULA,2001,12,7,1,6,0,6,18,15,3,1,0,5,118,226,95,131,1,22,19,2,2,21,4,23,10,43,0,73,440,1054
HARYANA,PANIPAT,2001,43,26,3,38,0,38,19,10,9,20,8,47,182,415,243,172,35,20,53,1,7,144,11,16,11,92,0,191,513,1895
HARYANA,REWARI,2001,21,13,4,11,0,11,13,11,2,0,2,7,86,155,72,83,39,10,19,0,23,130,12,17,0,14,0,0,638,1214
HARYANA,ROHTAK,2001,57,29,1,28,0,28,13,6,7,5,4,29,229,365,203,162,37,18,58,4,10,187,17,26,20,41,0,144,534,1856
HARYANA,SIRSA,2001,37,33,5,17,0,17,18,7,11,2,1,5,194,240,108,132,24,14,43,1,6,349,12,23,0,98,0,1,645,1768
HARYANA,SONIPAT,2001,73,49,4,15,0,15,26,12,14,5,7,28,130,347,165,182,6,10,43,3,8,346,18,22,14,51,0,132,607,1944
HARYANA,YAMUNANAGAR,2001,42,14,2,22,0,22,26,23,3,5,9,9,100,202,74,128,2,5,32,2,6,235,9,30,5,63,0,0,585,1405
HIMACHAL PRADESH,CHAMBA,2001,13,3,0,12,0,12,17,15,2,0,0,1,92,29,4,25,6,5,8,0,8,63,0,23,1,21,0,40,213,555
HIMACHAL PRADESH,HAMIRPUR,2001,2,5,1,3,0,3,3,3,0,0,0,1,29,17,1,16,26,5,11,0,7,178,1,17,2,33,0,44,362,747
HIMACHAL PRADESH,KANGRA,2001,24,16,3,18,0,18,30,21,9,1,0,4,146,108,26,82,125,1,29,1,26,280,1,43,0,58,0,2,1119,2035
HIMACHAL PRADESH,KINNAUR,2001,5,0,0,6,0,6,3,3,0,0,0,0,24,2,0,2,4,2,0,0,1,4,0,4,0,2,0,26,64,147
HIMACHAL PRADESH,KULLU,2001,13,1,0,13,0,13,7,6,1,0,0,1,50,17,5,12,27,3,7,1,6,36,0,12,0,2,0,36,398,630
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,0,0,2,0,2,1,1,0,0,0,1,5,1,0,1,2,0,1,0,1,1,0,0,0,1,0,9,24,50
HIMACHAL PRADESH,MANDI,2001,18,8,0,16,0,16,11,10,1,0,0,3,107,64,18,46,83,6,22,0,34,218,0,59,4,56,0,75,963,1747
HIMACHAL PRADESH,SHIMLA,2001,14,13,2,18,0,18,13,11,2,0,0,7,170,188,42,146,122,13,31,0,13,89,2,50,1,31,0,60,1127,1964
HIMACHAL PRADESH,SIRMAUR,2001,3,5,0,10,0,10,13,11,2,0,0,4,37,27,8,19,56,2,12,0,4,60,3,33,4,22,0,47,361,703
HIMACHAL PRADESH,SOLAN,2001,11,8,4,12,0,12,13,10,3,0,0,1,77,59,16,43,62,17,7,0,9,279,2,23,1,24,0,45,476,1130
HIMACHAL PRADESH,UNA,2001,6,6,1,9,0,9,5,5,0,1,0,2,57,38,9,29,38,4,6,0,5,121,0,11,0,20,0,64,319,713
JAMMU & KASHMIR,ANANTNAG,2001,74,41,0,6,0,6,59,36,23,5,0,16,126,83,15,68,67,5,28,0,51,20,0,53,12,0,0,23,435,1104
JAMMU & KASHMIR,AWANTIPORA,2001,25,3,0,1,0,1,14,13,1,0,0,4,21,19,1,18,10,0,1,1,9,2,0,8,2,0,0,0,196,316
JAMMU & KASHMIR,BARAMULLA,2001,144,155,2,28,0,28,75,59,16,2,0,16,114,156,19,137,146,3,11,2,40,18,0,93,14,0,0,22,492,1533
JAMMU & KASHMIR,BORDER,2001,6,42,0,12,0,12,10,10,0,0,0,0,24,19,2,17,15,6,16,0,2,14,0,15,5,3,0,39,480,708
JAMMU & KASHMIR,BUDGAM,2001,78,103,6,7,0,7,40,34,6,0,0,2,65,94,5,89,88,3,6,0,13,0,0,35,9,0,0,22,241,812
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,0,0,0,0,0,69
JAMMU & KASHMIR,DODA,2001,104,147,0,7,0,7,15,15,0,2,0,6,19,18,0,18,17,6,4,0,40,13,0,6,2,1,0,18,202,627
JAMMU & KASHMIR,GANDERBAL,2001,24,8,2,5,0,5,33,31,2,1,0,0,28,44,7,37,50,0,3,1,13,6,0,30,4,0,0,11,132,395
JAMMU & KASHMIR,JAMMU,2001,27,82,6,13,0,13,43,43,0,0,0,4,238,479,210,269,103,10,62,5,13,58,5,40,94,26,0,112,2187,3607
JAMMU & KASHMIR,KARGIL,2001,0,0,0,0,0,0,2,1,1,0,0,0,2,6,3,3,5,0,0,0,3,1,0,1,0,0,0,0,62,82
JAMMU & KASHMIR,KATHUA,2001,16,28,1,13,0,13,11,10,1,1,0,2,50,37,4,33,43,0,8,0,15,28,3,14,4,1,0,65,477,817
JAMMU & KASHMIR,KULGAM,2001,39,16,2,6,0,6,35,31,4,1,0,17,36,43,5,38,77,5,6,0,34,9,0,7,11,0,0,19,272,635
JAMMU & KASHMIR,KUPWARA,2001,141,269,0,6,0,6,47,29,18,0,0,1,36,39,1,38,74,8,10,0,22,18,0,62,2,0,0,12,280,1027
JAMMU & KASHMIR,LEH,2001,3,1,0,0,0,0,1,1,0,0,0,0,7,6,0,6,5,3,3,0,0,0,0,1,0,0,0,0,107,137
JAMMU & KASHMIR,POONCH,2001,100,189,0,13,0,13,16,10,6,1,0,0,13,67,0,67,30,3,6,0,40,27,0,4,6,2,0,8,241,766
JAMMU & KASHMIR,PULWAMA,2001,46,90,0,7,0,7,37,33,4,1,0,27,66,144,16,128,127,3,10,1,23,9,0,19,12,0,0,0,261,883
JAMMU & KASHMIR,RAILWAYS,2001,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,17
JAMMU & KASHMIR,RAJOURI,2001,76,97,1,17,0,17,20,20,0,2,0,4,28,21,0,21,3,4,14,0,18,34,3,7,6,6,0,2,602,965
JAMMU & KASHMIR,RAMBAN,2001,51,50,1,3,0,3,7,3,4,1,0,1,11,12,1,11,2,5,3,0,19,19,0,3,2,0,0,1,346,537
JAMMU & KASHMIR,REASI,2001,36,75,3,7,0,7,11,9,2,1,0,0,8,22,0,22,6,7,2,0,12,3,0,5,4,0,0,0,187,389
JAMMU & KASHMIR,SRINAGAR,2001,63,49,8,8,0,8,115,102,13,6,0,59,382,490,333,157,158,7,102,5,64,18,0,207,88,2,0,0,1211,3042
JAMMU & KASHMIR,UDHAMPUR,2001,21,28,1,10,0,10,15,14,1,0,0,2,70,117,11,106,46,4,8,0,6,21,2,12,11,9,0,3,624,1010
JHARKHAND,BOKARO,2001,70,75,2,26,0,26,38,32,6,38,2,66,108,435,35,400,119,16,17,21,13,74,25,24,2,45,0,76,644,1936
JHARKHAND,CHAIBASA,2001,109,34,10,32,0,32,17,10,7,7,2,9,38,99,42,57,22,8,22,0,5,35,0,6,0,0,0,0,214,669
JHARKHAND,CHATRA,2001,40,10,0,6,0,6,10,3,7,23,0,15,30,80,8,72,90,0,13,0,1,0,7,0,0,6,0,0,417,748
JHARKHAND,DEOGHAR,2001,47,82,4,22,0,22,7,0,7,13,2,15,66,129,29,100,118,8,14,0,11,259,10,13,1,10,0,0,275,1106
JHARKHAND,DHANBAD,2001,97,31,7,32,0,32,57,45,12,56,8,48,203,546,43,503,205,11,77,0,14,318,30,47,0,18,0,15,1096,2916
JHARKHAND,DHANBAD RLY.,2001,11,0,0,2,0,2,4,0,4,12,0,13,9,209,2,207,4,0,8,0,0,0,0,0,0,0,0,0,88,360
JHARKHAND,DUMKA,2001,63,32,4,27,0,27,24,0,24,11,2,8,48,66,36,30,75,14,8,0,16,263,3,20,0,23,0,18,291,1016
JHARKHAND,GARHWA,2001,32,6,6,11,0,11,5,2,3,19,0,17,32,54,15,39,113,2,15,0,12,125,15,0,0,5,0,0,319,788
JHARKHAND,GIRIDIH,2001,63,65,6,42,0,42,15,10,5,56,0,27,116,111,56,55,173,18,49,0,21,38,30,13,0,57,0,65,953,1918
JHARKHAND,GODDA,2001,61,0,0,37,0,37,30,26,4,24,0,18,66,70,49,21,90,0,3,0,0,0,1,0,0,0,0,0,630,1030
JHARKHAND,GUMLA,2001,136,18,7,29,0,29,16,11,5,30,0,44,31,56,39,17,40,4,7,0,0,0,0,2,0,10,1,0,227,658
JHARKHAND,HAZARIBAGH,2001,76,35,4,41,0,41,42,31,11,85,3,68,150,348,80,268,268,9,54,0,5,479,31,15,0,18,0,6,761,2498
JHARKHAND,JAMSHEDPUR,2001,81,190,8,50,0,50,60,51,9,10,2,27,134,343,67,276,131,85,115,0,8,76,6,58,0,88,0,140,1100,2712
JHARKHAND,JAMSHEDPUR RLY.,2001,4,0,0,1,0,1,0,0,0,6,0,4,3,65,1,64,2,0,3,0,0,0,0,1,0,0,0,0,59,148
JHARKHAND,JAMTARA,2001,22,30,0,18,0,18,14,11,3,6,2,9,21,68,24,44,61,2,10,0,3,146,5,13,0,20,0,2,21,473
JHARKHAND,KODERMA,2001,21,18,1,2,0,2,14,2,12,13,0,15,27,77,3,74,80,16,17,0,3,18,11,8,1,29,0,45,251,667
JHARKHAND,LATEHAR,2001,54,8,5,12,0,12,4,2,2,44,3,9,13,48,15,33,27,2,0,0,0,0,6,0,0,0,0,0,145,380
JHARKHAND,LOHARDAGGA,2001,33,4,0,12,0,12,14,8,6,8,0,11,14,28,16,12,29,4,5,0,3,11,0,4,0,10,0,0,121,311
JHARKHAND,PAKUR,2001,31,19,0,23,0,23,7,0,7,11,0,5,13,37,29,8,39,6,19,0,7,5,7,0,0,18,0,0,236,483
JHARKHAND,PALAMU,2001,73,52,3,15,0,15,14,2,12,43,3,32,71,94,20,74,160,21,5,0,23,343,18,8,0,28,1,38,416,1461
JHARKHAND,RANCHI,2001,243,65,18,73,0,73,1,1,0,81,4,140,2,647,97,550,66,47,55,0,10,21,4,24,1,78,0,0,22,1602
JHARKHAND,SAHEBGANJ,2001,47,34,3,20,0,20,17,5,12,12,0,8,25,80,26,54,72,5,19,1,10,42,3,23,0,21,0,15,171,628
JHARKHAND,SARAIKELA,2001,44,56,53,17,0,17,19,15,4,15,5,12,43,123,22,101,29,5,17,0,0,0,4,18,0,0,0,0,232,692
JHARKHAND,SIMDEGA,2001,49,2,2,17,0,17,12,12,0,13,10,27,3,14,0,14,5,0,2,1,0,1,1,0,0,0,0,0,88,247
KARNATAKA,BAGALKOT,2001,59,34,10,2,0,2,17,7,10,2,0,3,47,105,27,78,218,6,18,2,12,315,1,39,0,50,0,0,770,1710
KARNATAKA,BANGALORE COMMR.,2001,221,327,5,40,0,40,152,56,96,31,25,284,2108,6293,2401,3892,298,258,1708,79,3,3735,40,223,51,229,0,38,11106,27254
KARNATAKA,BANGALORE RURAL,2001,137,86,2,13,0,13,37,10,27,23,0,32,405,533,92,441,358,22,60,2,39,1097,30,90,0,123,0,0,2120,5209
KARNATAKA,BELGAUM,2001,120,55,2,8,0,8,27,12,15,19,0,47,212,386,139,247,389,17,102,1,25,1002,4,62,0,125,0,21,2429,5053
KARNATAKA,BELLARY,2001,58,41,1,16,0,16,14,11,3,5,0,20,179,303,75,228,260,9,19,1,13,709,5,82,0,49,0,0,1445,3229
KARNATAKA,BIDAR,2001,48,58,4,7,0,7,19,10,9,7,2,36,154,202,45,157,163,7,33,0,21,1015,2,90,3,51,0,0,2449,4371
KARNATAKA,BIJAPUR,2001,51,47,4,6,0,6,24,19,5,5,0,21,108,202,34,168,396,5,19,3,34,695,1,65,0,92,0,0,1163,2941
KARNATAKA,CHAMARAJNAGAR,2001,19,18,0,4,0,4,5,5,0,1,1,9,72,133,20,113,107,3,10,1,25,480,7,43,0,15,0,0,437,1390
KARNATAKA,CHICKMAGALUR,2001,41,24,3,8,0,8,12,7,5,4,0,10,148,222,44,178,187,7,25,4,5,885,4,57,8,83,0,7,1022,2766
KARNATAKA,CHITRADURGA,2001,31,22,0,18,0,18,4,0,4,8,0,20,115,145,38,107,269,7,22,1,8,717,2,48,0,35,0,0,1219,2691
KARNATAKA,DAKSHIN KANNADA,2001,33,36,0,3,0,3,9,6,3,1,0,8,214,219,109,110,127,15,55,5,12,411,1,24,0,25,0,3,1846,3047
KARNATAKA,DAVANAGERE,2001,58,39,6,22,0,22,23,13,10,5,1,26,246,332,114,218,297,12,46,3,1,684,8,84,5,77,0,1,1325,3301
KARNATAKA,DHARWAD COMMR.,2001,16,24,0,4,0,4,8,4,4,5,0,34,159,245,99,146,168,8,56,0,7,191,2,3,0,24,0,4,944,1902
KARNATAKA,DHARWAD RURAL,2001,25,10,2,3,0,3,3,2,1,3,0,5,30,38,1,37,110,7,14,1,0,132,3,8,0,8,0,0,497,899
KARNATAKA,GADAG,2001,22,17,1,2,0,2,4,2,2,4,0,13,55,55,16,39,109,4,23,1,1,165,3,10,0,18,0,0,392,899
KARNATAKA,GULBARGA,2001,95,83,3,20,0,20,35,21,14,10,3,61,246,268,55,213,423,6,68,0,25,1148,6,143,1,104,0,0,1421,4169
KARNATAKA,HASSAN,2001,64,69,0,20,0,20,17,0,17,5,0,23,162,268,59,209,210,9,17,0,0,1483,4,75,1,68,0,0,1544,4039
KARNATAKA,HAVERI,2001,24,17,4,3,0,3,12,11,1,7,0,10,85,111,21,90,260,9,20,2,0,393,5,42,0,32,0,0,1175,2211
KARNATAKA,K.G.F.,2001,20,22,3,1,0,1,12,7,5,4,0,6,94,108,19,89,73,0,12,1,0,256,4,12,0,20,0,0,258,906
KARNATAKA,KODAGU,2001,26,33,2,4,0,4,4,4,0,1,0,3,105,87,11,76,170,2,6,6,3,350,4,22,0,14,0,0,459,1301
KARNATAKA,KOLAR,2001,69,72,4,17,0,17,21,18,3,3,0,25,156,284,63,221,373,9,48,1,0,664,18,42,0,39,0,0,1385,3230
KARNATAKA,KOPPAL,2001,23,33,0,6,0,6,12,12,0,3,0,8,71,120,17,103,166,2,21,1,5,279,5,40,1,23,0,0,587,1406
KARNATAKA,MANDYA,2001,67,47,3,15,0,15,9,1,8,2,0,28,195,328,53,275,280,7,30,2,0,1431,7,50,0,72,0,0,2234,4807
KARNATAKA,MYSORE COMMR.,2001,32,34,0,2,0,2,11,7,4,0,0,32,109,326,140,186,67,17,52,1,0,360,9,8,1,48,0,0,794,1903
KARNATAKA,MYSORE RURAL,2001,53,58,1,12,0,12,14,4,10,0,0,0,167,200,16,184,212,5,15,2,0,1081,6,79,2,51,0,0,942,2900
KARNATAKA,RAICHUR,2001,33,38,9,12,0,12,11,5,6,4,3,13,137,150,46,104,261,8,94,1,15,602,1,63,4,52,0,16,857,2384
KARNATAKA,SHIMOGA,2001,56,48,1,12,0,12,14,10,4,1,0,15,206,292,100,192,260,4,31,1,20,1148,6,65,0,134,0,0,1864,4178
KARNATAKA,TUMKUR,2001,80,55,4,6,0,6,21,4,17,10,1,27,237,389,92,297,234,13,26,3,69,1099,28,53,0,44,0,4,1738,4141
KARNATAKA,UDUPI,2001,16,14,0,2,0,2,2,0,2,1,0,12,93,112,39,73,107,4,15,1,5,304,0,16,2,16,0,6,1231,1959
KARNATAKA,UTTAR KANNADA,2001,17,14,0,4,0,4,5,3,2,1,0,5,70,81,24,57,118,11,11,1,4,437,3,27,2,34,0,0,1474,2319
KERALA,ALAPUZHA,2001,22,32,2,21,0,21,8,6,2,2,0,18,227,195,109,86,419,18,152,9,35,1373,1,162,2,105,0,0,4516,7319
KERALA,CBCID,2001,22,7,0,2,0,2,2,0,2,1,0,1,5,5,0,5,6,18,37,119,1,5,0,0,0,4,0,0,15,250
KERALA,ERNAKULAM,2001,44,67,7,38,0,38,20,7,13,25,0,80,592,1264,294,970,626,22,267,12,25,1756,3,162,3,161,0,0,9669,14843
KERALA,IDUKKI,2001,33,30,1,34,0,34,0,0,0,3,0,16,240,254,39,215,301,55,78,0,10,1726,0,145,16,127,0,0,2352,5421
KERALA,KANNUR,2001,26,58,4,42,0,42,12,7,5,1,0,18,277,213,75,138,831,17,183,8,6,1175,0,77,7,157,0,0,2776,5888
KERALA,KASARGOD,2001,18,23,2,28,0,28,4,1,3,32,0,9,132,145,79,66,683,11,55,4,0,627,0,0,0,66,0,0,1277,3116
KERALA,KOLLAM,2001,41,65,21,55,0,55,16,9,7,13,0,62,334,291,120,171,575,16,120,14,63,2398,3,235,0,315,0,0,4645,9282
KERALA,KOTTAYAM,2001,34,26,3,22,0,22,18,12,6,2,0,54,319,373,125,248,347,25,252,8,17,1763,2,125,8,82,0,0,3602,7082
KERALA,KOZHIKODE,2001,34,35,8,39,0,39,12,10,2,28,1,15,448,428,153,275,1127,26,302,6,391,1035,2,118,8,319,0,0,4012,8394
KERALA,MALAPPURAM,2001,23,33,5,71,0,71,17,4,13,6,0,11,288,340,157,183,663,40,211,14,30,1119,3,92,3,448,0,0,4011,7428
KERALA,PALAKKAD,2001,45,57,14,63,0,63,14,10,4,11,0,30,342,315,120,195,608,66,159,5,67,1629,5,112,10,215,0,0,2749,6516
KERALA,PATHANAMTHITTA,2001,20,13,16,12,0,12,0,0,0,1,0,7,144,129,65,64,224,10,65,6,29,970,0,90,3,95,0,0,2266,4100
KERALA,THRISSUR,2001,42,79,20,42,0,42,18,9,9,14,0,82,406,516,188,328,577,40,390,11,4,1329,2,223,16,198,0,0,6456,10465
KERALA,TRIVANDRUM,2001,53,79,6,57,0,57,41,21,20,32,12,104,597,636,244,392,892,35,394,18,77,2436,6,345,2,210,0,0,5336,11368
KERALA,WAYANADU,2001,15,11,2,35,0,35,1,1,0,5,0,8,122,140,25,115,190,29,90,5,13,479,0,56,3,59,0,0,823,2086
MADHYA PRADESH,BALAGHAT,2001,56,43,8,87,0,87,11,11,0,0,5,7,229,226,21,205,42,10,10,0,18,568,3,157,12,72,0,51,1310,2925
MADHYA PRADESH,BARWANI,2001,41,30,3,34,0,34,2,2,0,2,2,18,130,237,30,207,35,6,5,1,10,795,5,81,9,18,0,71,473,2008
MADHYA PRADESH,BETUL,2001,56,48,1,95,0,95,19,16,3,0,0,18,199,246,33,213,9,6,15,0,16,521,7,135,4,71,0,59,1112,2637
MADHYA PRADESH,BHIND,2001,63,97,2,31,0,31,47,20,27,3,8,28,223,283,25,258,99,9,28,1,17,851,34,80,2,54,0,88,1313,3361
MADHYA PRADESH,BHOPAL,2001,61,109,0,106,0,106,55,48,7,8,6,99,852,1351,425,926,77,33,192,0,8,652,15,252,56,132,0,272,9372,13708
MADHYA PRADESH,BHOPAL RLY.,2001,5,3,0,1,0,1,2,2,0,1,0,25,10,705,13,692,3,0,8,0,0,1,0,10,3,0,0,2,257,1036
MADHYA PRADESH,CHHATARPUR,2001,54,72,1,65,0,65,28,23,5,4,4,42,240,163,0,163,104,0,36,0,20,445,20,193,10,46,0,96,1718,3361
MADHYA PRADESH,CHHINDWARA,2001,78,51,2,93,0,93,18,16,2,0,1,18,165,239,66,173,26,16,67,0,26,1085,10,203,32,109,0,98,1335,3672
MADHYA PRADESH,DAMOH,2001,43,78,0,66,0,66,18,10,8,3,1,24,114,188,20,168,54,3,18,0,32,1042,28,189,0,58,0,0,920,2879
MADHYA PRADESH,DATIYA,2001,53,55,0,12,0,12,25,8,17,3,1,26,87,103,12,91,30,1,8,0,9,424,8,57,0,18,0,38,908,1866
MADHYA PRADESH,DEWAS,2001,50,112,0,78,0,78,20,11,9,10,1,67,367,677,115,562,119,16,22,0,39,508,15,279,80,96,0,107,2376,5039
MADHYA PRADESH,DHAR,2001,89,99,0,68,0,68,22,18,4,6,10,35,285,651,72,579,48,33,25,0,28,635,41,168,21,88,0,0,2558,4910
MADHYA PRADESH,DINDORI,2001,13,4,0,20,0,20,2,2,0,0,0,2,52,44,7,37,6,5,6,0,4,119,0,53,6,4,0,14,467,821
MADHYA PRADESH,GUNA,2001,71,72,4,124,0,124,17,15,2,9,12,50,448,350,46,304,171,14,27,0,35,1602,7,317,22,95,0,116,2438,6001
MADHYA PRADESH,GWALIOR,2001,84,168,5,59,0,59,46,22,24,4,5,144,939,925,305,620,170,22,81,0,25,1084,20,139,8,49,0,189,2680,6846
MADHYA PRADESH,HARDA,2001,14,12,0,28,0,28,2,2,0,1,0,3,43,74,10,64,23,0,9,0,8,109,9,35,0,27,0,0,349,746
MADHYA PRADESH,HOSHANGABAD,2001,53,57,27,65,0,65,16,13,3,0,0,31,253,286,51,235,33,8,25,0,13,479,9,109,6,31,0,0,1240,2741
MADHYA PRADESH,INDORE,2001,111,133,1,84,0,84,50,35,15,5,10,112,874,2708,1360,1348,129,59,149,3,29,1306,25,215,63,161,0,269,6567,13063
MADHYA PRADESH,INDORE RLY.,2001,6,4,2,2,0,2,0,0,0,0,1,7,3,193,3,190,2,0,5,0,0,14,0,5,1,0,0,0,108,353
MADHYA PRADESH,JABALPUR,2001,103,167,28,108,0,108,33,20,13,0,3,126,596,887,300,587,112,14,40,0,15,2024,28,264,50,81,0,186,3468,8333
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,0,0,0,0,0,0,0,1,15,0,221,6,215,1,2,2,0,0,14,1,4,0,0,0,0,95,359
MADHYA PRADESH,JHABUA,2001,124,119,3,44,0,44,83,80,3,5,5,20,163,269,13,256,74,5,10,0,45,634,5,127,4,24,0,0,1653,3416
MADHYA PRADESH,KATNI,2001,51,37,1,25,0,25,9,3,6,0,0,29,168,239,56,183,33,1,26,0,8,816,11,106,12,59,0,64,590,2285
MADHYA PRADESH,KHANDWA,2001,41,46,0,63,0,63,14,12,2,5,1,11,311,290,44,246,64,9,44,0,9,84,11,184,15,49,0,58,2602,3911
MADHYA PRADESH,KHARGON,2001,47,41,5,47,0,47,15,14,1,5,9,21,171,533,24,509,80,16,16,0,17,540,5,164,29,21,0,3,1714,3499
MADHYA PRADESH,MANDLA,2001,35,13,0,64,0,64,9,9,0,2,0,11,190,116,20,96,18,2,29,0,15,444,4,151,19,46,0,40,914,2122
MADHYA PRADESH,MANDSAUR,2001,28,33,1,41,0,41,15,8,7,3,0,32,197,444,96,348,56,14,27,2,27,345,4,102,11,30,0,76,1128,2616
MADHYA PRADESH,MORENA,2001,63,99,2,35,0,35,35,18,17,16,3,76,381,564,88,476,198,4,13,0,19,929,29,77,2,34,0,111,2539,5229
MADHYA PRADESH,NARSINGHPUR,2001,38,49,0,70,0,70,7,4,3,1,1,11,121,149,26,123,32,1,10,0,24,832,22,156,16,40,0,51,680,2311
MADHYA PRADESH,NEEMUCH,2001,17,18,0,37,0,37,16,7,9,5,0,15,203,376,52,324,65,24,32,3,18,391,1,83,18,62,0,51,773,2208
MADHYA PRADESH,PANNA,2001,24,26,0,44,0,44,11,10,1,1,0,10,145,99,4,95,54,1,10,1,11,62,19,104,2,31,0,26,1240,1921
MADHYA PRADESH,RAISEN,2001,39,79,9,79,0,79,11,9,2,5,0,27,116,187,12,175,59,6,7,1,18,460,20,194,31,50,0,10,1601,3009
MADHYA PRADESH,RAJGARH,2001,42,68,1,95,0,95,12,9,3,4,0,35,135,218,34,184,161,7,13,0,51,538,7,196,26,49,0,93,1967,3718
MADHYA PRADESH,RATLAM,2001,58,60,0,70,0,70,21,13,8,5,6,54,233,468,102,366,42,13,37,1,17,448,4,125,28,53,0,69,1530,3342
MADHYA PRADESH,REWA,2001,53,54,0,31,0,31,26,18,8,6,2,67,706,410,110,300,149,1,23,0,31,445,18,105,2,56,0,127,2291,4603
MADHYA PRADESH,SAGAR,2001,84,122,0,141,0,141,30,16,14,4,0,53,473,497,22,475,151,10,56,1,51,2669,29,509,0,142,0,106,2553,7681
MADHYA PRADESH,SATNA,2001,49,48,0,58,0,58,16,5,11,3,2,52,588,495,125,370,87,4,12,0,34,822,19,157,6,65,0,125,2121,4763
MADHYA PRADESH,SEONI,2001,40,25,3,52,0,52,3,2,1,1,1,6,122,161,19,142,49,8,19,0,7,344,10,106,23,25,0,73,1065,2143
MADHYA PRADESH,SHAHDOL,2001,57,28,4,63,0,63,13,13,0,2,1,34,464,390,52,338,44,17,19,0,26,433,9,216,3,87,0,0,2252,4162
MADHYA PRADESH,SHAJAPUR,2001,42,46,1,90,0,90,13,8,5,1,3,47,273,588,95,493,92,11,28,0,35,744,8,153,36,65,0,59,1328,3663
MADHYA PRADESH,SHEOPUR,2001,24,30,2,21,0,21,18,3,15,4,4,10,54,94,9,85,38,7,8,0,4,321,6,52,0,14,0,15,327,1053
